id,text,label
5916,tập được 50calo ăn 10 calo,0
1156,mê người con_gái thực_sự,0
6556,tệ quá thiếu trách_nhiệm bản_thân,0
6657,em đẹp lắm hà ơi,0
6056,vui quá chắc phải lấy vợ được vui như thế mãi,0
2548,con ăn tởm_lợm,2
2795,bà đẹp quá trời rồi bà ơi,0
3282,một mat nu cuong hien mot mat nu tam có smiling face with smiling eyes,0
4276,chị xinh_đẹp quá đi smiling face smiling face,0
576,mất điểm từ áo bị hất thấy mờ ơ mơ hỏi mở á smiling face with hearts,0
1554,chê gì chê chứ không chê body bà châu mỹ latin được nhìn kìa trời nét nét mún thẳng lại lun nè má,0
1917,đẹp gái màaa heart hands,0
4091,anh tú số hưởng,0
6440,sao có_thể tăng cân nhanh thế được chứ ?,0
4711,6 mới che mặt,1
2410,tóc nầy đẹp đừng đội tóc giã Việt_Nam nắng_nóng khó chui nó sẽ dài con phải kiên_nhẫn nó sẽ nhanh lắm bây_giờ nhìn màu tỏc cắt kiễu tém nầy rất đẹp thumbs up red heart,0
4518,tự nhien thích ăn tôm tôm đầy mình = grinning squinting face,0
2805,tóc phù_hợp bạn nhìn xinh,0
3436,đúng câu_vẻ bề_ngoài quan_trọng như thế_sao,0
1888,như_vậy mới gọi đẹp thuần_khiết không tai_tiếng,0
2400,may ma lam on im_cai mieng thui lai gium toi may ma lo chuyen nha may ma_di_chua chac da tot hon nha nguoi ta ha con te hon toc nay thay dep roi con dung vay nhan 10 diem,0
1582,mẻ đứng giữa sửa xong cũng không thấy xinh hơn,1
6265,minh muon map lai không được map cũng kho ma om cung kho,0
4183,ảo thật đấy,0
4441,há miệng rồi nè,0
6687,khâm_phục nha bạn,0
274,40 cân cơ á anh,0
3542,con_gái mặc áo_dài thùy mị nết_na ghê,0
3769,ngt ánh mắt biết nói đầu tao cứ có ánh mắt biết cười giựt mình suýt chút nữa dânhs rơi,0
2052,kíu kíu nói tiếng anh phát 1 chớ ín lịt kíu,0
1725,ê nhỏ xinh thíi,0
6717,qúa giỏi,0
1266,gò_má khắc chếc hết nhà chồng,2
5386,không tì_vết,0
983,tắt app không trang_điểm biết ngay,1
2064,bố con điên,0
4325,xinh gái dễ_thương quá,0
3955,môi phẫu_thuật nhiều giờ nhìn xâu PROFANITY_STRONG,2
7183,sao 8 / 3 toàn thấy vinh_danh bạn chuyển giới nhỉ ?,0
2267,vui quá có món mới chính hãng ăn rồi,0
728,chụy thua xác ướp việc quấn ít băng hơn thôi,0
2438,red heart cho chị 20 gói nhân ơi,0
3735,2 thằn có cặp mắt tối thâm chắc làm video phước đức tiêu_tan chắc không sống được bao_lâu đâu đôi mắt báo_hiệu dương khí sắp hết,2
6965,có_thể có kỳ_vọng cười trang_bị khá nhiều trải nghiệm kỹ_năng tri_thức không có rào_cản ngôn_ngữ thể_hiện bản_thân nâng tầm hiểu_biết giao_tiếp hội_nhập,0
3257,phim bản thứ 3 mình xem mình thích nhất bản trần thiêm tường đóng rất đẹp_trai hơn face with tears of joy face with tears of joy,0
4139,đi gia_đình thuê xe_hơi cho cả nhà ấm_áp,0
1139,sao chân bà nhỏ_xíu đáng yêu_vậy,0
2357,thuong nhiều lam gì cũng thương heart hands clapping hands flexed biceps red heart two hearts red heart two hearts red heart red heart red heart red heart red heart United_States,0
7041,tây ai xấu đâu chỉ họ không biết giữ_gìn bê_tha mới bầy_hầy thôi chứ bình_thường 10 người hết 7 người đẹp rồi,0
5722,vẻ đẹp trông rất giả_tạo chắc make up thẩm_mỹ quá_đà đễ mặt mộc chắc còn thua vợ em,2
6769,vẻ đẹp anh mê_đắm thế gợi_cảm tự_nhiên ít son_phấn tui phán vậy có trúng hông ? thư kỳ cũng hơi hở lợi cô vẫn cười thoải_mái vẫn đẹp như_thường đâu cần mím chi như lưu diệc phi,0
5813,uôi à supper idol quáaa,0
5446,đã thí,0
1293,anh giống như 1 ngọn núi_vậy,0
7085,đúng thực_tế luôn_luôn đi ngược chuyên_trang sắc_đẹp mày bình_chọn,1
5705,nhìn có đơ đơ cứng như ma nơ_canh nguyên_bản đã không đạt yêu_cầu lại còn trát cả cân make up xấu quá ! mình yêu_vẻ đẹp tự_nhiên quá sao ?,2
1227,ê công_nhận ông đẹp_trai thật,0
6603,chia_tay nguời cũ chinh xác rồi xứng_đáng có người_yêu mới tôn_trọng em nhiều nhất có_thể nhé,0
7190,đẹp không tì_vết,0
7295,xin cho hỏi cuộc thi có được phẫu_thuật thẩm_mỹ không ạh ? ai biết cho xin ý_kiến cảm_ơn !,0
7170,chuyển giới thật hoàn_hảo chỉ còn phần cổ_tay bàn_tay hơi manly chút thôi ! . .,1
3830,may con quy nu nay len dong phim gion choi vay phim hoi ky cuc . . et không lam dien vien hoi xau te,0
2660,câu nói đào lan hương rất red heart red heart,0
4390,ôi anh ơi em mỏi mồm quá face with crossed out eyes,0
2481,yêu red heart tiểu_bối lắm nè,0
3886,nam chính nhìn mặt gái tính quá xem chẳng có chút hứng_thú,0
6811,cố giang dù ai ganh gét đố_kỵ hãy mạnh_mẽ giang nhé tôi vẫn luôn bên cạnh cổ_vũ cho giang yêu bạn,0
4908,tao tưởng bầu 7 tháng không á,1
2019,da mặt đẹp xinh liền hà chúc chị học thật tốt nhé red heart,0
578,bộ đồ lòng có cho bọn cam cũng chê quá,0
6807,thôi xong đã đẹp rồi sao phải can_thiệp phẫu_thuật_thẩm_mỹ nữa trông thực_sự khác,0
5998,diễn_viên già bụng phệ mặt nhăn sao hấp_dẫn bằng trai hàn xem,2
2989,số 4 chồng em nha cấm ai dành nha biting lip smiling face,0
1083,mỏ vẩu thấy gớm,2
1408,giống tiểu long nữ PROFANITY_STRONG,0
3999,tội anh tú,0
4225,ngồi vừa tầm luôn grinning face with sweat grinning face with sweat grinning face with sweat,0
415,thêm chổi bay được !,0
3680,nhìn mặt thầy như . .,1
4146,kiếm đủ tiền hãy trở_lại người bình_thường em nhé hãy nói_chuyện cô_đơn không cô_đơn con gái thích đàn_ông giàu sạch sẽ đàn_ông củng,0
1922,lâu lắm rồi mới nghe lại giọng bé thuy red heart em đang tokyo huh ? có dịp tokyo sẽ gọi em nhen mình làm_quen nhé,0
4094,chị ơi ôm ôm,0
5303,tại_sao trai đẹp lại bot ? loudly crying face loudly crying face loudly crying face,2
7244,áo_dài đẹp mang dáng_dấp thời vua chúa chúc_mừng em cố em nhé,0
4923,xem angela phương trinh từ hồi kính vạn_hoa dẫn tui từ yêu thích khiếp_sợ,0
1961,thuỵ dễ_thương quá à red heart,0
3453,ờ chân ngta dài thẳng_tắp còn chân mình chỉ cắm cho đủ bộ_phận face with tears of joy,0
4645,chị ngày xua đep lam,0
4970,đẹp,0
2017,vlog đi chị đẹp red heart red heart,0
7119,cuộc thi tay_nghề nhà phẫu_thuật,0
3944,bạn có đôi môi ám_ảnh quá,2
6208,giảm 50 kilogram tao vẫn thấy cô béo,2
3602,diễn_viên nhiều người xấu quá hic nhân_vật nữ mặt nhìn như_nam,2
6616,hân tri ân người_yêu cũ đã cho em động_lực có ngày hôm_nay nhé nay 20 / 11,0
1697,sweet thật cụ_thể tiểu_đường,0
3790,chị việt giống_lai hàn á đẹp quó red heart,0
4195,giống ai đâu có cặp smiling face with hearts,0
1586,thiên_ân make tone nhìn trẻ_trung xinh quá,0
4464,thánh chỉ tới smiling face with halo,0
5118,đẹp quá chị,0
6587,có câu showbiz Trung_Quốc có 2 thứ không phải nghi_ngờ diễn_xuất châu tấn sắc_đẹp phạm băng băng xét khía_cạnh diễn_viên mình thích châu tấn hơn một_tẹo bởi_vẻ đẹp một diễn_viên nằm năng_lực biểu_cảm hơn tỉ_lệ vàng đường_nét khuôn_mặt,0
5017,vậy mới đẹp,0
4235,hưu duyên bl smiling face with hearts,0
6845,nhớ mãi cô autumn in my heart,0
2621,gp rất giỏi,2
3485,bả piến thái_vậy,0
5558,ước chị rep 1 lần pleading face,0
5743,trông giả quá,0
4461,squinting face with tongue,0
6252,trẻ đẹp thật !,0
1418,xin vía ốm như chị_gái,0
5697,lê âu ngân anh_em rất đẹp anh thích em,0
5715,sao em nhìn hoa_hậu cứ giống ai bác ạ,0
4694,chắc mình tao thấy 6,1
3766,mắt có màu cũng giả skull,1
1720,không còn gì neft disappointed face,0
1221,không dám khen cute lun,0
4708,không đẹp cũng không xấu bình_thường,0
4480,face with tears of joy,0
5831,nhìn muốn đẻ luôn,0
2204,ủa bà đang live bay đi nhật sao hien đang live anh rể sao sân_bay đi nhật trước,0
6615,người_yêu mới sau_này cũng nhìn cơ_thể_hiện_tại bạn bạn mập không_khéo lại chia_tay khó xác_định được đâu phẩm_chất tốt_đẹp con_người cho_nên bản_thân mình cố_gắng cho mình chính_xác nhất đừng lấy cớ người chê xấu người khen đẹp đổ lổi cho động_lực phấn_đấu bản_thân mình cố_gắng cho chính mình,0
2018,dễ_thương ác ; 3,0
5758,nhìn chán không chứ nệ,0
2422,tôi nói thật bà nhân làm đại_trà quá lại làm cho lớn luôn không à có ngày bà nhân bị công_an mời bà nhân làm_việc à,0
4172,ế nhờ thực_lực,0
342,tui mê bả,0
2580,sao mình thấy bạn comment nhũng lời ác_ý không có chút thiện_chí chắc tâm bạn đen_tối không có chút_xíu lòng thương người,0
2363,chùa đẹp quá bối dễ_thương chúc gia_đình may_mắn,0
1424,có cần xinh như zậy không hả chị đẹp face with peeking eye face with peeking eye em không giám nhìn đou,0
4211,sắp sắp hết nhận rồi,0
713,ngày_xưa men thế giờ nhìn rolling on the floor laughing,0
860,có_chửa hả má,2
922,2 nàng đẹp gái đã vậy còn đẹp giống nhau nữa như 2 chị_em vậy á,0
1088,người_ngợm gì nhìn như cin khỉ,2
6808,người nổi_tiếng có khác có bầu cũng đẹp có bầu ai_nấy đều biết,0
4412,không quỳ sao nhỉ,0
3825,ăn 1ki giảm 1 tấn face with tears of joy face with tears of joy face with tears of joy face with tears of joy,1
410,22 tuổi thấy đứng quá,0
35,em cũng rất xinh rất rạng_rỡ pink heart,0
1061,bà xinh chắc cả thế_giới không có gái 6 =,1
7277,lắm hoa_hậu_thế,0
2992,4 trai đẹp smiling face with smiling eyes,0
