id,text,label
2812,xấu mà còn đóng vai ác face with tears of joy face with tears of joy,2
746,mình không có ý phê_phán nhưng phải nói lời thật từ đáy lòng nhìn như cc vậy không đẹp 1 chút nào cả thô_kệch đến xấu_xí,2
5489,xinh quá smiling face with hearts,0
2220,cdm nói hoài mà nhân không quan_tâm đến cứ dủng bao_tay màu đen trong phản_cảm,0
1553,bạn này chỉ cần đứng im thôi không cần đi cũng vào top @ @ body đỉnh PROFANITY_STRONG,0
1990,ly nước còn mắc hơn tô cơm face with tears of joy,0
5044,đợt đó mình không xem eo nhưng mà đẹp từ trong nước đẹp ra ấy smiling face with tear tuyệt_vời áaa,0
290,mă bã xinh thiệt đó bây ơi bây,0
4826,nhìn mà ói,2
1240,nhìn ghét thế chứ_lại,0
2381,hom nay có máy toc đẹp rôi red heart red heart,0
3167,nhìn wonyoung mà điểm g đập rộn_ràng,0
6611,ok hân em đẹp lên thật nhưng cũng không có được anh đâu,0
1122,giờ mặc đồ chỉ cần che với • • là được còn lại cứ hở cho tao,0
6532,em xinh_đẹp và dáng chuẩn chúc em luôn hạnh_phúc,0
5546,xinh vãi chời,0
2453,chúc_mừng 2 vợ_chồng nhân và chúc thành_công hơn nữa càng ngày_càng tiến xa hơn nữa red heart,0
4632,lần đầu không rung_động với trai 6 múi,0
4113,tối bắt à tú trả bài grinning squinting face,0
6540,nhìn sắc_thái bạn ấy đẹp quá bạn này có giọng hát đẹp trình_độ thanh_nhạc rất cao,0
2647,con_trẻ ăn_chơi lua đảo mà giỏi gì nghiep quat đến sớm,0
717,chân phải dài 2m í ^ ^,0
6035,những người thích đọc sách thường lành_tính và tử_tế chúc em có được nhiều thành_công,0
4108,sớm,0
1560,cái thắt eo ăn_tiền thực_sự fire,0
2420,grinning face with sweat mỹ nhiêu tiền một gói vậy_nhân,0
6100,idol của tôi chúc chị luôn khoẻ,0
6899,cứ bảo tin_đồn đấy cuối_cùng lại là thật,0
7190,đẹp không tì_vết,0
751,chim nhỏ vãi,1
1226,trời ơi ả đẹp ông chồng còn hợp_tác lăzc đuýt nữa grinning squinting face đúng là 2 người đẹp yêu nhau nhìn thik thật,0
2397,đẹp rồi nha từ từ nó dài,0
1507,nét đẹp của người tu tập nó vậy đó anh smiling face with halo,0
963,tụi bay ơi tao mê cái eo của chỉ PROFANITY_STRONG,0
1055,cái đầu nó nhỏ quá cái nón nào vừa,2
5686,công_nhận đẹp thật,0
7037,một từ thôi quá đẹp,0
1408,giống tiểu long nữ PROFANITY_STRONG,0
1690,cô ốm quá tao sợ cái tay cô nó văng ra luon á crying face crying face crying face,2
3828,người tương_lai gì xấu quắc . . thanh_lọc tự_nhiên mấy thằng như này bị diệt trước . .,2
4121,kéo,0
5996,theo tui là xấu,2
5132,quá xuất_sắc,0
393,linh càng ngày_càng xinh đó em,0
7225,thường các cuộc thi khác phần thi áo_tắm sẽ diện trang_phục giống nhau cuộc thi này lại diện áo_tắm kiểu_cách tự_do nhìn hơi lộn_xộn không được đẹp cho lắm,0
1030,lilianna này có vẻ hơi loli thì phải,0
6313,hương ly sao sầu_não quá,0
2598,thì vậy mới nói,0
6408,nhan_sắc quá bình_thường còn mức_độ hấp_dẫn lại càng kém có_lẽ gu thẩm_mỹ của mình thiên về độ hiền chẵng ?,2
3543,xin tên nhạc ạ,0
6243,nhan_sắc này là hoa_hậu Việt_Nam_đây sao ?,1
1532,không xấu nhưng mà tính em hơi kì á em =,0
7066,kỳ_vọng rồi thất_vọng cho một ứng_cử_viên mạnh của Việt_Nam,0
1729,con_gái giống bố,0
7213,vẻ đẹp trong_veo như sương mai,0
3938,eo ồi có con béo phì kìa mà con béo đó là con_trai mà astonished face,2
1819,ả ta bước_đi gần 1 tiếng đồng_hồ trong màn_hình điện_thoại tao rồi và chưa có sự dừng lại vậy_mà ad nói clip chưa đến 10s face with rolling eyes smiling face with tear,0
5583,xinh quá phúc_hậu nữa revolving hearts,0
6012,sao không áp_dụng trên phạm_vi toàn_quốc luôn ?,0
4683,che mặt auto xing,1
5272,sao trên đời lại có người đzai vậy tar woozy face smiling face with horns biting lip person with veil person in tuxedo kiss couple with heart pregnant person breast feeding person feeding baby zombie baby,0
1182,xin vía cái mũi cho con_trai tao,0
4964,phiên_bản đẹp nhất lại bỏ ! chán flushed face flushed face flushed face,0
538,uong het hồ boi,1
4007,tao thà uống nước bể_bơi,0
6556,tệ quá thiếu trách_nhiệm với bản_thân,0
7387,tâm phục khẩu phục !,0
113,và trà nên giảm cân,0
3176,nghĩ sao quỷ già đó láo thấy mẹ có vợ có con ùi chứ chung_tình quỷ gì mà phải khó lựa_chọn,0
7425,nhìn cái cằm sợ quá,2
6255,nhìn trẻ như cách đây 20 năm !,0
3804,mắt uyên trang nhìn hong dễ_thương cho lắm,0
966,gu bà bèo là bi bot,0
5273,khi anh ấy là chị ấy,1
3148,jeff nhiễm phóng_xạ =,1
2842,quả mặt đàn_ông face with tears of joy,1
4753,6 quắc,0
7103,trời ơi khuôn_mặt xinh quá xinh,0
3931,đúng là diễn_viên makup xấu thiệt,0
2937,sửa mũi đi thành hoa_hậu ngay,1
1088,người_ngợm gì nhìn như cin khỉ,2
586,mắt trắng_dã mũi củ_tỏi,2
1243,sao thấy bả giả giả sao ak,1
566,ăn mạnh vào anh ơi dạo này gầy nhiều sa_sút,0
4054,bl dưới nước phương thy face with tears of joy face with tears of joy face with tears of joy,0
1459,chubby dễ_thương_số một hệ mặt_trời,0
2600,mắt bà ngân vẫn không_thể ngẫm nổi,0
7001,có_lẽ ưu_ái chủ nhà những hình ở dưới và đời_thường thì xinh_đẹp còn hình đầu_tiên làm tôi thấy hoảng_sợ,0
2756,chị đó chuppy phết,0
1581,nghĩ mãi không ra quế anh đẹp vậy_mà khi đăng_quang bị chửi quá_chừng chửi so sáng với á_hậu nữa chứ,0
4512,bù để quý hả smiling face with hearts,0
6183,người nhật ít thẩm_mỹ lắm vì sống_mũi họ cao sẵn vóc_dáng thon gọn do văn_hóa giữ vóc_dáng ăn sâu trong tiềm_thức người nhật chỉ khi xấu lắm mới can_thiệp dao_kéo,0
1041,độn dữ_vậy trời,1
1261,cho tao hỏi cưới chồng như này ở đâu,0
1334,cao_ráo trắng_trẻo lại còn học giỏi nữa hâm_mộ thiệt sự smiling face,0
5851,là sao … người_ta không tập thì chê còn chịu đi tập rồi thì nói_kháy … sao mới vừa ta,0
944,ấn_tượng mê_vẻ đẹp mỹ_nhân tân cương,0
3181,cái thứ nhất tao thấy cổ xinh mà cái thứ hai tao cũng thấy ông xinh,0
3005,tôi có một gương_mặt góc_cạnh bẩm_sinh,0
2517,có bởi quay líp là chạy vô xem liền clapping hands clapping hands heart hands two hearts heart hands two hearts smiling face with hearts thumbs up red heart United States_United States_United States_United States flexed biceps flexed biceps flexed biceps two hearts two hearts red heart,0
5543,chào nàg,0
3661,thái leng skinny ngọt nước quá face savoring food,0
3197,phim toàn trai xinh gái đẹp,0
6391,đặng thu thảo đẹp trong_trẻo,0
4566,không quỳ đấy làm_gì được nhau =,0
3288,cái ô số 3 còn ok kiểu không chỉnh app gì cả chứ những bạn kia thì cũng bthg có app gánh hộ,1
1949,vẫn thích chị thụy từ 1 cô gái hài_hước dám sống thật và rất tốt_bụng biết cố_gắng mong chị giữ mãi cái chất của mình nhé mỗi lần em buồn em xem video của chị_em hết buồn luôn á,0
2160,chất_lượng video chán vậy chị nhân,0
5172,cặp chân sao mà đẹp dã_man vậy smiling face with hearts,0
2726,hào ngầu tướng bảnh vãi,0
7340,nezien thật qua đáng,0
3057,tao tặng 2 bạn voucher bẻ xương cột_sống,0
565,ku em hạn_chế_di với nơi công_cộng nha,0
3335,tuyết công_tử cười đẹp vậy smiling face smiling face,0
4828,như mấy con tật,2
2419,nổi quá cũng chết đó nghe em,0
3893,tay rất đẹp nhưng sao tôi cứ thấy giống chân gà grinning face with sweat,1
1205,này gọi là dáng chữ lên đúng không,0
5925,xinh mà không thuộc về ai thì cung chỉ thế thôi đêm về ôm gối grinning face with sweat grinning face with sweat grinning face with sweat,0
5100,hoa_hậu có khuôn_mặt thần_thái nhất mh từng gặp,0
6058,thay hát hay ! mấy bạn nhảy cũng đẹp,0
7014,tố_chất bên trong đã là hoa_hậu thì chỉ cần tự_tin sẽ toả sáng và trở_thành hoa_hậu không có tố_chất hoa_hậu bên trong thì có cố_gắng cách mấy cũng sẽ không là hoa_hậu được,0
3070,thấy chị_em hot_girl nổi_loạn đẹp hơn smiling face with smiling eyes,0
6878,vấn_đề là cô ấy không hề đẹp như ảnh nếu chưa photoshop chụp cam thường cô ấy như hầu_hết phụ_nữ 40 khác ngoài 40 thì khoẻ cân_đối đủ dinh_dưỡng quan_trọng hơn là hà_khắc với bản_thân,1
4028,ahu flushed face,0
2285,người_ta chua vao may vao truoc face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy_vi cai mom,0
1539,chỉ để_ý răng bạn linh face with raised eyebrow,0
872,cá mặt quỷ,0
6792,theo tôi thì đúng là một ông chồng diễm_phúc,0
4847,giống con lợn,2
4520,quỳ rồi nè lẹ lên ướt nhẹp hết rồi,0
2706,ui ông toàn xinh gái quá face with open mouth face with tears of joy,0
5378,cười cưng lắm bé ơi kệ nta nói gì em cứ là chính mình là đượơc thumbs up,0
808,ngon vậy tròi,0
903,bồ_vậy mới không sợ mất chứ mấy nhỏ đẹp đẹp nguy_cơ bị tòm tèm cao lắm penguin,1
100,có mắt đã ghê . . smiling face with horns,0
6068,2 mắt cách xa nhau nhìn rất lạ,0
313,chắc mỗi tao để_ý cái eo bả . .,0
1723,thay_vì đăng xàm xàm xin hãy giảm cân rồi nối giõi gia_tộc đi,1
4275,xinh_thế,0
4335,em quỳ rùi anh ơi face with hand over mouth face with hand over mouth face with hand over mouth,0
3900,nhỏ đầu ta nói nó sấu face with tears of joy face with tears of joy face with tears of joy,1
3690,mặt ông thầy ố dề vãi,2
617,xinh gái nha cán_bộ ơi cười,0
3619,đồng_chí có súng to quá cộm lên luôn,2
5327,vẫn là cái vibe tình đầu,0
3193,vợ người_ta đẹp còn mình thì xấu,0
327,2 cái sụn tai còn nguyên kìa đừng có đồn nữa mấy chị ơi,0
5278,huyền_thoại capcut 2022 2023 một thời loudly crying face,0
4047,nhìn mặt nhìn mặt nhìn mặt loudly crying face,0
5220,trong các loại hoa em thích nhất là hoa_hậu hen nie,0
3035,bộ trước giờ bả là đàn_ông hay sao giờ mới đi làm gái,0
6606,thời bây_giờ nhìn qua ảnh cũng khó tin lắm lột_xác 1 phần nhờ giảm cân phần còn lại có_thể cũng nhờ makeup filters photoshop fillers botox sụn mũi nâng ngực bơm mông xăm môi hồng nối và tạo kiểu tóc giảm cân đặc_biệt kiểu cấp_tốc 6 tháng thì toàn_thân đều sẽ nhỏ lại không có kiểu ngực mông vừa phình vừa tròn vừa căng thế đâu,2
2931,giao_diện dễ_thương quá k,0
4567,giống trình trình vậy loudly crying face loudly crying face,0
3027,cái con_mẹ biết cái kịch_bản này chắc là no là không ve_chúa hay sao ý,0
6536,nhìn kĩ sẽ thấy photoshop hơi lố,1
1248,người mỏng như giấy luôn,1
434,thần_thái 10 điểm có dư,0
4460,quỳ thật nè chị,0
22,làm_sao để có được body như này rolling on the floor laughing,0
2555,chuc chị tthat nhieu thành côngg,0
3618,kiệt hà_tĩnh bị lìm choi kìa,0
1126,khoe vậy tưởng tụi tui mê ư ?,0
441,em coi 10 lần chưa thấy hay để coi típ,0
1075,kiểu cười làm mặt trông méo_mó,0
1420,tóc mới xịn quá chị ơi,0
4652,ông kia đẹp_trai nhỉ,0
2123,cố lên bạn ơi red heart,0
5730,nhìn gương_mặt cô ấy lúc nhận giải ! ôi thần_linh ơi !,0
7269,tường san quá tầm_thường so với các em còn lại,0
